Temperature,Humidity,Wind_Speed,PM2.5,PM10,NO2,SO2,CO,O3,AQI
8.6,63.8,13.7,87.6,205.8,51.0,3.4,1.62,53.8,215
43.0,18.9,13.8,0,0.0,28.5,6.0,2.31,40.1,121
11.2,56.3,18.7,89.2,206.7,55.5,18.2,2.45,23.2,208
27.0,46.2,13.2,45.5,74.1,64.4,0,0.79,64.6,69
41.6,13.9,7.3,98.7,141.4,65.2,22.6,0.85,63.2,168
23.8,42.8,5.3,23.7,40.3,16.4,11.5,0.99,41.1,55
19.4,53.7,1.9,36.1,46.6,13.3,10.4,0.39,28.3,69
23.4,43.4,8.1,73.2,126.2,27.0,20.0,0,58.8,121
5.6,47.3,7.2,45.1,70.9,29.8,3.1,1.45,23.4,70
18.5,64.9,-0.6,64.1,143.3,34.1,18.7,0,37.2,139
40.9,60.2,2.5,54.0,66.5,43.2,15.4,1.91,53.9,94
12.9,74.4,12.6,92.1,169.7,31.1,29.6,2.33,37.3,170
20.3,48.9,11.4,79.1,100.0,23.7,15.1,2.55,14.2,134
10.3,8.4,-0.1,0.3,0.6,5.8,4.6,0,34.3,24
18.7,59.1,4.3,48.3,98.1,45.0,16.2,0.03,30.9,95
32.3,67.7,9.4,74.9,142.5,39.4,20.5,0.57,24.1,147
29.0,40.0,8.6,52.1,123.8,50.1,1.7,0.38,60.4,117
24.2,61.5,5.0,90.1,208.0,50.0,12.0,0.98,23.3,205
20.7,64.1,15.3,71.9,149.8,33.3,10.0,1.27,32.7,150
23.3,56.8,4.9,72.8,89.9,23.3,10.8,0.75,42.8,119
29.7,44.3,17.5,3.8,8.6,53.0,14.9,1.33,63.4,67
34.3,60.0,4.9,7.2,14.8,31.3,0,1.05,50.0,54
29.2,47.5,4.4,56.6,124.4,60.4,21.8,1.95,44.5,122
35.9,13.1,10.9,41.5,66.6,7.8,0,0,62.3,76
32.0,53.5,8.3,54.8,108.5,0,35.8,2.58,48.8,125
16.3,68.4,5.4,49.9,115.1,34.1,10.8,2.1,33.0,119
11.2,30.1,13.2,62.7,141.0,26.6,3.8,0.78,13.3,144
22.7,98.8,11.0,43.1,101.1,30.9,26.2,0.4,32.0,111
28.5,65.7,13.1,54.7,128.2,12.6,12.6,0.39,80.7,129
38.7,76.4,1.6,58.1,121.9,15.9,5.8,1.09,43.0,123
40.1,50.9,16.2,5.7,10.0,34.1,14.8,0.28,46.6,43
25.0,70.1,10.9,62.7,119.0,31.0,8.6,1.19,59.4,117
-2.1,43.9,9.4,60.0,89.7,37.8,15.7,1.12,17.2,99
37.5,55.9,9.2,31.9,74.2,0,16.2,0.2,41.2,71
27.3,105.1,13.8,0,0.0,35.2,27.6,1.51,51.7,76
17.1,53.5,12.5,43.9,96.2,2.2,4.0,1.15,56.6,91
28.3,98.8,-1.7,46.3,92.3,56.2,13.5,0,46.9,96
21.9,50.1,10.9,55.1,66.3,4.4,19.1,0.85,51.5,90
10.0,30.8,12.2,87.0,175.0,13.8,2.7,0,18.2,178
11.9,25.0,10.9,29.3,41.5,18.2,30.5,0.4,30.7,54
35.8,45.1,-1.4,14.7,19.2,29.9,25.3,1.21,42.9,64
46.5,87.8,13.4,17.2,41.9,59.9,15.0,0.97,57.5,75
13.7,34.2,0.9,63.0,127.5,54.1,10.6,1.02,29.1,131
15.5,25.4,6.3,82.4,129.7,64.5,8.8,0.16,32.6,136
33.1,80.0,9.1,0,0.0,24.5,5.0,0.78,52.0,56
25.6,32.0,10.2,21.1,40.4,49.3,10.3,0.87,35.6,68
22.7,60.8,12.9,9.6,12.7,22.0,37.1,0.91,34.1,47
30.8,39.6,8.8,8.5,13.3,58.4,0,1.04,64.4,65
40.1,18.9,9.5,54.9,122.2,17.9,0,1.95,22.3,122
23.3,76.5,-5.8,0.6,1.2,44.8,25.0,0.43,57.3,52
22.0,54.4,12.9,31.8,47.8,5.4,15.5,0.76,40.2,45
28.7,41.7,5.2,0,0.0,24.5,15.1,0,44.1,51
10.1,37.3,12.2,0,0.0,38.6,11.7,0.62,0,51
16.9,86.1,4.2,7.7,17.8,42.4,7.4,0.48,60.3,61
4.7,67.3,10.4,2.4,5.9,0,14.8,0.15,49.7,54
32.5,44.5,6.3,0,0.0,34.8,7.0,0.68,52.2,46
22.5,63.2,7.1,102.5,205.6,49.3,16.3,2.76,51.6,210
24.8,75.4,19.0,48.8,115.6,24.8,9.7,0.31,47.3,110
17.5,46.5,11.7,54.7,93.0,19.0,7.7,1.06,21.1,90
33.4,59.2,17.3,37.1,57.8,2.1,8.9,0.99,41.9,57
17.7,73.5,7.7,63.3,104.9,3.9,5.9,0.16,28.4,98
14.7,27.9,2.5,0,0.0,22.2,25.1,0,25.7,35
29.5,59.8,6.9,73.7,181.6,48.4,0,0.66,50.3,178
30.2,39.5,12.9,0,0.0,68.5,32.0,2.32,75.3,121
12.6,111.9,8.4,67.8,151.1,12.0,27.4,1.09,14.8,153
18.8,36.6,15.2,0,0.0,30.5,17.2,1.77,26.6,91
21.4,94.4,13.6,73.5,127.2,20.9,30.4,2.49,34.9,133
42.1,84.0,13.6,74.8,155.0,27.9,0,0,63.1,158
33.5,78.8,13.4,0,0.0,56.9,7.6,1.63,74.9,78
37.3,77.8,-3.3,34.4,57.2,19.6,18.9,2.12,68.9,99
29.1,43.0,4.8,98.5,149.4,34.7,24.1,1.73,67.8,168
26.9,73.4,13.0,28.6,39.8,31.2,14.6,1.28,36.9,67
30.5,73.4,16.5,51.5,114.8,30.6,15.7,1.71,47.5,116
24.4,35.6,9.8,8.1,17.9,20.4,14.6,0,41.3,50
29.7,76.3,5.5,0,0.0,43.4,5.0,1.11,38.0,50
28.3,55.8,16.0,63.1,81.2,25.6,29.0,0.32,40.2,111
24.6,33.9,12.0,78.7,181.7,48.2,5.0,0,40.4,178
18.1,64.3,7.1,77.3,134.5,47.4,20.9,0.61,26.6,141
43.5,94.5,13.9,63.2,136.6,35.0,19.8,0.06,35.3,133
22.5,69.0,5.5,86.3,187.8,51.6,3.2,2.06,37.3,184
35.5,66.8,17.1,47.1,108.3,39.4,3.6,2.0,23.5,104
40.3,15.2,12.9,0,0.0,75.4,18.8,1.3,39.7,98
39.1,53.4,14.2,104.1,201.6,31.5,10.5,1.26,47.0,201
24.8,46.1,6.0,59.4,99.9,23.9,0,0.69,39.8,103
26.9,37.9,5.0,39.0,71.4,59.2,7.5,1.23,43.7,72
17.6,67.0,7.5,18.4,38.1,49.2,17.8,0.92,37.7,60
31.5,70.0,12.9,45.8,99.4,32.2,19.4,1.7,40.7,94
34.1,28.6,18.9,62.4,78.3,74.8,17.6,1.68,32.1,97
18.0,51.4,11.2,71.0,159.2,32.3,1.1,0,44.6,158
29.2,47.6,4.8,27.7,47.6,23.3,23.5,0.76,52.5,50
24.7,16.6,9.3,10.4,23.5,56.2,17.9,0.46,48.4,73
11.5,39.7,8.3,28.3,62.4,0,15.6,1.05,19.4,68
19.1,41.5,4.7,73.7,102.8,8.8,24.8,1.36,35.6,127
36.2,68.2,8.0,80.2,102.2,33.9,11.5,2.03,25.9,129
17.1,35.3,11.5,57.9,103.3,0,20.3,0,31.2,108
27.1,65.8,18.5,82.8,136.3,24.7,3.4,1.28,53.5,133
29.1,48.4,9.6,27.8,48.2,41.7,7.9,1.92,49.8,89
29.1,63.6,8.2,26.5,56.8,5.9,0,1.5,34.9,73
22.3,29.2,20.6,26.0,51.4,11.1,23.0,0.74,22.1,58
30.8,32.5,13.9,0,0.0,1.6,12.6,0.33,52.0,50
29.8,70.8,21.8,21.8,30.1,31.2,32.1,1.72,65.6,91
35.6,24.3,14.4,44.0,96.7,43.2,22.1,1.79,71.9,98
7.0,70.9,14.6,8.7,13.1,46.0,7.3,1.23,33.3,56
16.6,56.3,12.0,13.8,31.5,0,32.9,1.89,36.7,93
34.6,8.7,7.8,59.9,82.6,0,15.0,2.15,60.7,103
40.5,83.2,12.4,30.7,67.2,23.8,36.5,1.52,63.1,79
22.7,42.3,11.4,52.5,97.4,31.1,17.9,3.57,38.8,179
42.3,43.9,4.8,3.4,4.7,21.4,33.3,0.85,43.4,42
14.5,68.1,10.1,46.5,88.9,67.9,13.3,0.03,46.7,92
24.0,65.9,2.2,77.8,139.6,63.3,28.9,0.88,40.4,136
24.3,73.1,14.2,30.8,53.7,20.2,12.8,0.71,47.7,53
13.3,56.1,16.3,40.3,68.8,2.1,17.7,1.61,35.3,89
26.8,41.8,16.7,4.3,9.3,5.2,13.5,1.21,17.0,58
32.9,91.0,2.5,67.2,135.7,32.7,11.7,1.14,30.1,135
27.9,61.8,11.4,79.7,198.0,20.2,7.6,0.84,44.1,195
14.2,87.3,13.0,30.8,42.0,1.6,30.5,0.93,5.3,41
42.6,36.5,10.1,74.5,167.0,18.9,14.4,0.68,29.0,161
16.6,55.0,16.4,64.1,102.4,13.2,8.7,0.72,25.3,117
30.3,17.4,24.2,18.5,45.0,85.3,27.7,1.52,27.5,113
14.4,15.4,14.3,68.0,150.7,37.3,15.8,1.14,23.1,146
33.7,36.2,5.4,72.0,157.8,23.9,4.0,0.56,29.4,162
25.0,69.8,9.5,14.1,24.0,15.6,12.1,0.94,58.8,63
24.8,80.1,7.1,94.6,169.1,57.3,23.7,0.48,61.7,173
30.0,45.5,8.9,53.6,102.1,60.3,2.7,0.56,11.6,96
11.5,49.8,9.9,50.0,111.4,40.4,27.5,1.17,17.3,118
12.0,51.2,13.7,56.7,141.7,25.3,3.0,1.18,8.3,154
37.0,46.3,5.7,34.7,81.2,13.4,17.7,0,64.7,93
5.0,78.1,12.4,54.7,76.5,39.0,22.6,0.81,19.1,101
17.3,68.6,6.9,25.2,34.3,11.0,11.0,1.93,29.5,97
30.4,55.8,5.7,8.1,16.1,44.1,4.2,1.09,42.0,62
29.0,34.3,6.6,46.9,95.1,9.4,1.0,1.01,35.2,107
7.0,63.9,8.3,25.5,33.0,50.0,19.0,0.46,34.5,59
19.6,53.6,2.0,102.1,139.8,0,6.2,1.75,32.7,175
24.2,75.0,13.4,62.5,106.2,18.7,10.0,1.31,35.5,103
36.6,47.0,17.8,4.4,8.1,30.3,14.2,1.16,65.1,63
31.8,57.1,9.0,54.6,100.7,51.5,5.2,0.02,49.3,104
16.3,83.8,4.6,57.0,98.0,11.0,9.1,0.78,32.6,97
8.0,59.1,7.2,136.8,285.2,69.9,33.5,0,50.5,279
45.0,60.4,6.7,13.5,17.0,28.7,20.9,1.55,36.2,78
15.5,45.1,6.8,82.1,115.9,62.7,14.0,0.78,50.7,140
14.1,55.7,5.9,59.7,124.0,12.4,28.1,0.87,44.0,116
24.1,55.7,-2.9,65.1,144.3,34.3,2.0,0.81,22.5,148
37.4,32.0,3.4,71.8,89.1,54.2,19.6,0.88,61.6,120
33.9,84.9,2.7,83.3,199.6,52.8,3.3,1.4,50.1,201
33.6,47.2,4.8,39.8,95.0,41.4,9.9,1.63,50.1,87
15.4,35.9,7.5,30.9,47.0,16.7,12.5,1.66,35.6,82
31.6,55.1,5.8,7.5,16.7,67.9,14.3,1.4,39.3,80
43.3,55.4,18.7,26.5,41.8,22.6,30.4,0.51,65.0,65
36.4,67.4,15.9,87.8,121.0,17.4,5.1,0.29,49.3,154
11.0,54.5,14.9,53.5,114.1,57.7,25.1,2.01,36.1,119
20.6,97.7,5.9,36.8,90.2,31.9,8.8,2.04,45.7,101
13.9,48.9,8.0,0,0.0,48.8,33.4,1.81,67.1,95
24.8,13.0,10.3,104.0,243.3,19.2,27.9,1.06,75.9,252
18.5,118.7,4.4,52.1,126.2,43.3,6.0,1.14,46.1,129
34.4,59.4,13.2,40.8,79.1,0,15.3,0.5,67.0,71
30.6,38.7,16.4,62.7,90.3,41.2,21.8,1.01,57.0,105
41.7,76.3,8.8,50.1,102.7,27.0,13.7,0.73,60.3,106
15.2,73.2,16.2,17.9,28.7,63.0,30.0,0.69,57.5,79
30.3,79.0,16.8,22.9,43.8,17.2,2.8,1.18,39.7,56
25.3,93.5,11.4,44.1,78.6,27.7,11.1,0.74,40.5,73
21.5,49.8,8.7,28.4,38.4,51.4,18.7,2.02,55.8,104
29.0,39.5,4.5,42.9,54.7,0,19.2,0.87,29.6,75
9.9,54.6,9.3,40.2,100.2,36.0,18.5,0.88,38.4,100
10.6,78.6,11.4,0,0.0,0,30.1,0,55.7,60
19.6,47.9,3.3,5.6,9.2,22.9,20.4,1.89,16.0,93
25.1,61.6,14.2,48.8,101.4,6.3,11.6,1.27,32.4,99
31.6,89.7,6.9,95.9,167.4,53.7,17.1,0,55.9,168
27.1,63.1,3.6,23.8,30.1,28.8,4.9,1.06,54.0,55
22.4,43.5,9.9,63.3,102.2,0.3,2.8,0.31,35.8,109
34.1,83.0,10.8,76.2,97.4,69.0,8.5,1.95,36.0,122
30.2,106.9,7.9,32.4,52.4,0,10.1,1.23,27.1,67
5.8,66.4,7.5,94.2,211.7,52.1,8.4,2.0,29.1,214
30.6,68.3,16.9,96.6,127.5,11.8,14.0,0.49,42.7,168
8.8,35.5,13.2,87.5,187.4,8.7,10.9,1.49,24.5,188
24.5,107.2,5.1,146.4,266.8,82.9,15.6,2.09,51.7,277
8.6,48.9,5.5,72.3,120.5,28.3,27.0,0.64,34.4,126
23.7,83.7,0.6,35.1,67.8,45.0,16.0,1.44,39.5,84
15.9,50.1,12.6,65.7,111.3,41.8,4.8,0.31,19.1,111
43.5,88.0,8.5,35.2,78.6,30.7,22.8,2.12,18.4,107
11.2,52.5,11.2,47.7,109.8,58.0,10.0,1.07,20.2,112
18.9,59.3,9.3,18.2,36.5,29.3,8.1,0.04,22.2,37
37.7,61.1,16.1,46.9,73.0,33.7,14.7,1.46,28.1,82
4.4,67.0,11.4,59.3,111.8,40.5,18.1,0.42,20.7,115
14.3,74.4,13.6,46.8,97.7,46.8,3.1,1.85,17.4,102
30.4,53.6,9.4,64.4,119.0,30.7,0,1.57,18.1,115
35.1,73.8,13.3,53.6,124.7,47.3,7.6,1.3,49.3,134
15.3,55.2,9.5,69.8,171.0,22.5,0.7,0.31,34.2,166
30.3,65.5,10.6,104.6,178.5,44.3,9.6,1.02,36.9,187
23.8,5.9,9.9,66.6,152.4,37.1,5.8,2.15,56.4,151
25.4,55.1,7.7,140.1,257.5,0.6,33.7,0,52.1,256
21.4,33.7,3.9,41.9,58.7,21.9,11.6,0,39.9,66
25.8,61.3,8.3,74.6,115.6,38.7,19.8,0.03,48.9,123
26.3,54.6,11.8,23.4,39.7,19.8,12.4,1.77,70.9,94
47.9,29.0,7.3,34.2,57.9,40.9,21.5,0.71,54.2,53
29.2,52.0,10.2,45.1,90.7,45.0,9.5,0.71,54.6,93
33.5,54.3,3.4,12.0,19.6,11.3,30.8,2.37,15.4,122
31.6,72.7,8.9,19.6,48.3,77.5,11.0,2.19,26.2,110
25.5,79.4,12.0,22.5,30.3,5.3,9.8,0,36.3,26
17.3,29.5,11.9,16.9,35.5,36.3,22.5,0,23.8,49
20.0,48.9,5.7,7.0,15.6,84.7,28.7,0.2,42.0,95
24.1,51.0,4.2,55.3,130.7,11.7,1.1,0.74,64.1,135
19.9,44.3,9.1,37.1,92.0,21.1,5.9,1.04,1.0,91
25.6,58.7,16.0,4.5,8.7,26.9,5.6,1.27,45.6,57
15.8,59.9,12.3,48.0,83.5,39.6,13.8,1.41,34.9,81
35.2,66.1,15.5,13.6,28.7,33.2,11.5,1.61,50.3,78
33.4,36.5,8.7,26.8,66.5,30.5,21.2,1.55,63.0,81
23.1,49.4,11.8,23.7,29.4,13.6,10.0,0.65,29.1,37
23.1,47.0,10.1,0,0.0,62.5,27.1,1.27,53.8,74
27.1,75.9,5.3,26.6,53.0,9.3,7.1,0.62,55.3,50
31.1,31.2,8.0,81.8,107.2,36.7,18.7,0.83,54.5,134
13.8,50.5,11.3,30.1,61.0,38.6,10.0,0,56.0,61
19.5,60.7,7.8,78.4,99.6,28.2,16.1,1.96,60.6,136
22.3,29.6,10.2,0,0.0,49.4,17.2,1.1,42.0,58
23.1,84.5,12.7,79.4,172.0,32.5,2.4,1.3,46.4,173
6.6,35.1,16.9,84.7,161.9,38.2,19.6,0.98,45.4,155
13.7,132.9,5.6,72.4,163.8,0,26.9,1.09,26.0,166
12.6,41.4,16.4,28.0,38.6,21.1,16.8,1.52,49.3,78
22.6,84.4,6.5,95.5,150.5,25.7,34.6,2.2,39.2,170
39.4,70.0,-0.9,114.7,156.5,28.1,20.1,0.55,43.0,182
26.1,30.0,3.5,46.9,72.6,11.2,20.6,0,20.0,83
31.6,51.7,21.6,0,0.0,65.9,32.2,1.02,43.2,74
10.7,67.6,8.9,57.5,109.0,34.3,25.4,1.15,46.9,111
17.0,37.2,7.0,16.5,34.5,31.7,19.4,1.11,42.0,50
39.0,87.8,9.8,53.0,129.7,39.0,29.6,1.78,65.5,136
44.5,55.6,17.2,42.4,100.8,49.3,20.1,1.69,44.3,108
26.5,89.1,9.9,51.5,93.7,39.6,20.3,0.95,41.4,91
7.6,80.9,9.6,59.1,100.4,35.7,14.4,0.63,21.8,110
36.2,86.2,10.1,36.2,90.1,45.3,24.6,2.16,49.3,100
30.9,52.1,7.9,7.6,17.6,46.0,18.9,1.19,45.7,53
5.8,94.2,8.9,69.5,108.5,51.9,21.4,0.11,20.9,117
9.9,76.9,4.0,41.8,77.9,52.9,14.9,0.33,65.1,81
36.2,53.4,14.5,66.4,131.0,0,10.1,2.86,45.2,150
39.6,42.7,8.0,23.7,57.9,0,15.2,0.85,60.5,62
28.4,61.7,11.5,12.0,24.3,9.3,14.9,0.9,38.3,38
21.8,57.0,14.2,24.1,54.3,29.0,5.3,0.82,22.0,47
23.4,53.3,7.4,0.9,2.1,37.9,16.5,0.19,48.3,45
19.6,58.3,1.8,85.2,179.9,51.4,27.7,2.7,13.8,179
23.9,48.1,16.1,79.0,122.4,56.0,3.8,2.43,46.9,131
28.6,53.9,3.6,78.2,130.5,40.3,2.1,1.0,36.5,133
35.4,75.7,9.4,29.2,54.3,68.4,20.4,1.03,64.6,83
28.8,95.8,5.9,0,0.0,15.6,7.3,1.34,23.7,71
24.5,68.0,5.9,76.0,180.4,45.5,31.3,2.97,37.9,186
29.7,52.2,19.5,22.9,27.8,52.4,18.9,1.98,37.9,106
12.0,66.0,1.4,54.7,79.5,57.4,5.1,1.0,37.7,88
28.9,38.2,17.9,91.5,110.0,0,4.3,0,43.4,150
17.8,57.3,8.2,47.9,119.5,27.9,10.7,2.5,23.7,117
23.1,22.3,19.7,46.2,63.4,34.6,16.7,0.71,26.9,75
32.2,56.7,9.7,72.5,162.5,20.1,0,0.74,57.0,166
28.0,65.0,3.5,61.3,110.7,39.9,4.7,1.55,54.0,110
22.2,74.7,12.1,60.9,127.4,44.3,1.3,2.47,48.2,126
28.9,60.2,14.7,0,0.0,27.5,17.5,0.99,30.9,53
24.9,44.8,1.2,61.1,84.5,67.6,16.4,1.42,41.6,104
16.4,40.3,4.7,25.5,57.6,22.3,18.6,1.04,51.5,54
40.0,91.4,12.1,28.6,35.9,18.2,16.5,0,37.5,47
26.5,55.0,7.2,51.6,80.8,42.6,17.0,0.86,35.0,84
22.1,79.8,8.3,48.5,75.8,38.7,20.1,1.73,28.9,80
11.8,76.8,-4.5,63.2,120.6,11.5,0,1.17,21.0,121
28.7,75.9,12.1,111.7,247.2,87.6,26.1,0,39.7,261
24.9,83.7,14.3,43.9,104.9,66.6,46.5,1.92,48.0,114
27.7,42.1,15.1,0,0.0,0,5.1,0.43,12.4,29
27.7,84.4,7.9,35.0,87.1,25.0,23.6,0.37,37.6,92
31.1,67.8,11.2,83.9,100.8,41.7,11.7,1.87,63.0,148
15.6,58.1,10.9,0,0.0,6.9,26.3,0,51.9,51
34.4,52.8,13.4,58.9,81.2,56.8,35.4,1.53,10.3,96
20.0,90.2,8.5,101.4,151.0,14.8,9.7,0.74,32.0,176
36.3,83.2,21.6,22.7,38.9,81.8,14.1,2.06,52.2,115
12.5,64.7,16.3,60.0,130.1,25.7,17.1,3.27,51.7,172
38.3,76.6,3.3,5.7,10.1,28.6,22.5,1.56,53.9,78
25.3,35.5,15.3,100.6,185.2,22.0,5.9,1.69,56.4,189
34.5,38.1,8.9,26.7,34.6,39.5,8.1,0.18,80.8,84
27.7,37.0,15.7,0,0.0,17.5,3.5,0.39,40.1,40
30.6,55.8,12.2,33.8,45.0,33.6,21.2,0.58,22.6,56
17.2,57.1,13.6,81.8,187.5,38.0,20.4,1.62,27.3,189
17.9,37.0,10.4,48.7,69.3,27.9,19.0,1.38,28.2,77
32.0,55.4,8.1,28.5,67.1,26.5,7.6,1.64,44.6,87
26.2,75.6,17.7,65.2,134.8,45.8,19.7,0,32.8,129
18.2,80.0,2.2,22.5,52.3,42.1,0,1.26,33.1,63
38.0,41.8,-0.7,47.9,107.3,17.8,2.5,1.98,66.3,114
50.5,95.8,8.4,77.0,191.4,45.0,0,2.09,35.4,185
23.9,103.9,11.6,49.2,83.9,15.8,20.3,0.85,58.3,90
12.5,42.6,5.8,18.5,25.7,40.0,0.7,0.29,67.9,64
20.7,56.5,8.6,83.2,137.0,13.3,20.2,0,42.2,143
26.9,76.9,15.4,44.8,105.5,24.7,11.4,1.51,42.5,94
26.6,57.6,11.7,22.4,35.0,0,15.8,2.32,60.8,125
45.2,25.0,13.3,34.6,70.5,50.6,17.6,1.51,63.7,68
26.2,19.9,12.6,5.1,7.2,21.1,26.0,2.03,65.1,102
23.3,73.3,18.9,57.0,102.3,17.1,28.6,0.38,37.5,112
10.8,59.1,10.9,51.6,86.9,19.6,11.5,1.73,20.9,85
29.8,86.2,4.9,45.6,77.6,14.8,21.8,1.89,73.8,92
16.0,35.9,9.4,73.1,89.6,36.5,0,2.76,39.8,134
14.2,75.2,10.2,58.6,144.1,13.9,8.4,0.34,27.2,147
24.9,82.4,5.9,3.3,5.7,49.2,22.2,0.19,17.8,56
35.3,47.0,7.3,54.2,134.7,34.6,2.4,0,46.0,143
31.6,49.5,15.0,83.7,198.4,42.3,0,0.05,32.8,195
10.5,21.3,-4.3,44.6,76.0,50.8,30.3,1.28,26.5,75
24.0,46.0,1.4,37.1,88.3,18.8,4.5,1.87,18.2,96
20.6,68.6,11.5,45.0,98.6,66.3,21.2,2.1,37.0,107
14.9,86.1,6.9,103.2,168.4,28.9,23.3,1.54,23.8,176
15.1,67.2,9.3,75.9,176.7,14.9,8.8,1.46,65.3,180
29.3,70.2,4.5,72.8,173.2,13.2,17.3,0.7,19.2,166
26.1,72.6,16.4,70.3,154.0,30.5,23.3,2.19,17.6,155
36.7,74.5,6.6,28.9,71.0,25.9,16.9,1.24,62.1,75
25.8,66.5,7.2,31.0,47.2,4.8,11.8,0.31,53.1,57
19.9,53.6,11.9,22.2,35.0,26.3,1.7,0.12,66.7,71
24.7,75.4,7.3,79.0,189.0,75.1,9.1,1.33,41.2,186
23.7,33.4,12.3,65.6,134.1,69.8,19.8,0.96,60.4,150
34.7,44.7,3.8,92.6,161.3,33.8,5.8,1.69,38.8,162
20.2,33.4,7.7,84.8,174.7,26.6,28.5,1.98,61.6,181
34.8,67.3,11.7,63.3,92.4,38.2,14.0,1.97,54.4,113
24.2,65.4,6.6,50.3,121.3,29.3,15.6,0.18,13.3,125
12.2,65.1,11.8,0,0.0,27.6,14.7,1.58,48.6,79
20.5,62.0,10.6,54.7,86.2,35.5,6.8,0.97,33.6,91
21.9,77.6,4.1,67.0,118.5,46.5,0.2,0,64.0,124
29.1,78.5,13.9,43.2,73.4,51.2,0.5,0.15,23.0,79
35.1,104.6,14.3,70.5,138.8,47.5,19.9,0,53.7,143
23.5,63.8,6.2,0,0.0,60.7,31.5,1.62,51.8,85
27.2,47.7,17.2,18.5,36.1,0,0,0.12,37.0,33
9.6,55.5,16.1,67.9,103.5,13.0,27.4,0,53.8,99
14.4,87.0,12.4,83.4,192.4,62.4,17.7,0.77,26.1,193
28.2,58.8,11.2,88.6,152.8,32.1,26.0,1.28,28.6,156
16.5,77.2,14.0,40.5,70.3,22.4,14.8,0.99,55.4,74
18.8,48.4,6.6,45.3,93.9,48.1,12.1,1.54,42.9,88
28.6,43.5,6.1,19.4,26.2,3.5,15.4,0.43,29.0,40
33.1,56.3,2.3,43.7,55.0,35.7,19.7,0.74,23.1,78
33.6,77.6,20.7,19.3,42.7,43.8,14.0,0.63,17.3,61
32.0,37.3,10.8,9.6,19.7,40.4,13.5,0.02,46.1,62
32.0,72.2,5.1,0,0.0,27.6,0.7,0.39,56.3,60
8.3,35.5,5.1,43.8,108.4,59.3,6.5,0.7,72.3,114
23.0,73.8,13.8,32.4,51.5,0,9.0,0,33.2,43
20.5,50.1,7.1,29.0,47.8,3.6,0,0,9.6,41
24.6,55.6,12.2,24.5,47.5,48.3,9.8,0.28,41.9,51
20.7,97.8,12.2,19.4,23.9,48.2,26.8,1.41,64.1,73
32.0,59.9,19.6,33.0,72.0,14.4,33.0,1.3,70.1,78
23.7,20.1,9.7,0.7,1.1,37.7,0,0.72,63.4,68
20.6,112.6,6.3,44.8,54.5,53.4,14.9,2.11,46.1,96
35.6,21.4,8.0,0,0.0,4.0,11.1,1.34,9.6,66
31.0,54.7,7.1,64.0,108.2,51.3,3.5,1.44,59.1,113
24.7,77.9,9.3,34.1,47.7,27.2,17.9,2.01,33.8,97
15.1,43.1,7.9,50.2,74.6,12.9,16.5,1.28,22.0,84
20.7,58.0,10.6,66.7,108.9,21.0,20.4,1.02,21.9,121
